"sovereign_iso3","sovereign","rcp","scenario","msy_tot1","msy_tot2","c_tot","p_tot","bbmsy_avg2","bbmsy_good_prop","c_tot_rel","p_tot_rel","b_prop_diff"
"GAB","Gabon","RCP85","Imperfect Productivity Only",171579.153169985,14333.4551496043,3358762.43282327,1199986795.04304,0.778399760567611,0.405121622066423,1.17081047196848,-9.95710720230402,0.108554688785754
"GAB","Gabon","RCP85","No Adaptation",171579.153169985,14333.4551496043,3319892.78049116,1332683521.99558,0.651740876739884,0.296566933280669,0,0,0
"GAB","Gabon","RCP85","Productivity Only",171579.153169985,14333.4551496043,3407945.69867843,1257846957.80991,0.793890178115189,0.455054145683157,2.65228198647575,-5.61547906539799,0.158487212402488
"GAB","Gabon","RCP85","Range Shift Only",171579.153169985,14333.4551496043,2775409.57472798,1032539402.06147,0.991889205764471,0.455284552845528,-16.4006262178933,-22.5217851785752,0.15871761956486
"GBR","United Kingdom","RCP26","Full Adaptation",2164820.9762475,2309091.00195708,75418350.6807383,64916353362.342,1.23811098047285,0.847898357526085,14.433260259928,79.4411303441998,0.498140285046575
"GBR","United Kingdom","RCP26","Imperfect Full Adaptation",2164820.9762475,2309091.00195708,62509616.8497723,18260811145.2707,1.15343250917188,0.638820315328659,-5.15333219100373,-49.5236496939434,0.289062242849149
"GBR","United Kingdom","RCP26","Imperfect Productivity Only",2164820.9762475,2309091.00195708,64457490.2875905,26256435435.6365,0.90395704671429,0.47065600210658,-2.197798079593,-27.4222255356498,0.12089792962707
"GBR","United Kingdom","RCP26","No Adaptation",2164820.9762475,2309091.00195708,65905970.4402638,36176964131.8136,0.778544020522817,0.34975807247951,0,0,0
"GBR","United Kingdom","RCP26","Productivity Only",2164820.9762475,2309091.00195708,75835982.2601027,52751980607.4421,0.95154550133305,0.614100918337119,15.0669381749554,45.8164936539067,0.264342845857608
"GBR","United Kingdom","RCP26","Range Shift Only",2164820.9762475,2309091.00195708,61546139.3194222,45879354459.0059,0.947342963421658,0.453572956782199,-6.6152293816738,26.8192496524609,0.103814884302689
