"SciName","CommName","SpeciesID"
"Pterogymnus laniarius","Panga seabream","13986"
"Pteroscion peli","Boe drum","14003"
"Pterygotrigla polyommata","Latchet(=Sharpbeak gurnard)","14023"
"Rachycentron canadum","Cobia","14137"
"Raja clavata","Thornback ray","14154"
"Raja rhina","Longnose skate","14165"
"Rastrelliger brachysoma","Short mackerel","14199"
"Rastrelliger kanagurta","Indian mackerel","14201"
"Reinhardtius hippoglossoides","Greenland halibut","14210"
"Rexea solandri","Silver gemfish","14236"
"Rhabdosargus globiceps","White stumpnose","14246"
"Rhabdosargus haffara","Haffara seabream","14247"
"Rhinobatos planiceps","Pacific guitarfish","14275"
